name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads	sample
Eukaryota	2759	D	23125	27	23152	0.76123	AP-RNA-16
Bacteria	2	D	6265	11	6276	0.20635	AP-RNA-16
Archaea	2157	D	11	0	11	3.6e-4	AP-RNA-16
Viruses	10239	D	974	0	974	0.03202	AP-RNA-16
Eukaryota	2759	D	14468	18	14486	0.67283	AP-RNA-15
Bacteria	2	D	6358	10	6368	0.29577	AP-RNA-15
Archaea	2157	D	5	0	5	2.3e-4	AP-RNA-15
Viruses	10239	D	670	0	670	0.03112	AP-RNA-15
Eukaryota	2759	D	740407	694	741101	0.65879	AP-RNA-14
Bacteria	2	D	381826	271	382097	0.33966	AP-RNA-14
Archaea	2157	D	689	0	689	6.1e-4	AP-RNA-14
Viruses	10239	D	1054	2	1056	9.4e-4	AP-RNA-14
Eukaryota	2759	D	1353491	1931	1355422	0.85793	AP-RNA-9
Bacteria	2	D	220183	322	220505	0.13957	AP-RNA-9
Archaea	2157	D	553	0	553	3.5e-4	AP-RNA-9
Viruses	10239	D	3386	4	3390	0.00215	AP-RNA-9
Eukaryota	2759	D	2130299	2553	2132852	0.89083	AP-RNA-7
Bacteria	2	D	257181	381	257562	0.10758	AP-RNA-7
Archaea	2157	D	895	0	895	3.7e-4	AP-RNA-7
Viruses	10239	D	2882	31	2913	0.00122	AP-RNA-7
Eukaryota	2759	D	2019473	2456	2021929	0.87997	AP-RNA-8
Bacteria	2	D	271743	492	272235	0.11848	AP-RNA-8
Archaea	2157	D	922	0	922	4e-4	AP-RNA-8
Viruses	10239	D	2614	24	2638	0.00115	AP-RNA-8
Bacteria	2	D	4861335	154	4861489	0.96866	AP-DNA-15
Eukaryota	2759	D	157030	51	157081	0.0313	AP-DNA-15
Archaea	2157	D	112	0	112	2e-5	AP-DNA-15
Viruses	10239	D	111	0	111	2e-5	AP-DNA-15
Eukaryota	2759	D	2073366	2301	2075667	0.86115	AP-RNA-10
Bacteria	2	D	330070	439	330509	0.13712	AP-RNA-10
Archaea	2157	D	846	0	846	3.5e-4	AP-RNA-10
Viruses	10239	D	3312	11	3323	0.00138	AP-RNA-10
Eukaryota	2759	D	2314265	2710	2316975	0.89943	AP-RNA-6
Bacteria	2	D	254701	437	255138	0.09904	AP-RNA-6
Archaea	2157	D	907	0	907	3.5e-4	AP-RNA-6
Viruses	10239	D	3031	9	3040	0.00118	AP-RNA-6
Eukaryota	2759	D	2353671	2319	2355990	0.86501	AP-RNA-11
Bacteria	2	D	360785	578	361363	0.13267	AP-RNA-11
Archaea	2157	D	896	0	896	3.3e-4	AP-RNA-11
Viruses	10239	D	5412	9	5421	0.00199	AP-RNA-11
Bacteria	2	D	6461081	199	6461280	0.94138	AP-DNA-16
Eukaryota	2759	D	402050	104	402154	0.05859	AP-DNA-16
Archaea	2157	D	142	0	142	2e-5	AP-DNA-16
Viruses	10239	D	84	0	84	1e-5	AP-DNA-16
Eukaryota	2759	D	2617647	2627	2620274	0.89887	AP-RNA-5
Bacteria	2	D	288429	498	288927	0.09911	AP-RNA-5
Archaea	2157	D	1108	0	1108	3.8e-4	AP-RNA-5
Viruses	10239	D	4768	13	4781	0.00164	AP-RNA-5
Eukaryota	2759	D	4467314	2753	4470067	0.90926	AP-RNA-12
Bacteria	2	D	441069	655	441724	0.08985	AP-RNA-12
Archaea	2157	D	1495	0	1495	3e-4	AP-RNA-12
Viruses	10239	D	2846	20	2866	5.8e-4	AP-RNA-12
Eukaryota	2759	D	3260078	2529	3262607	0.90363	AP-RNA-13
Bacteria	2	D	343788	546	344334	0.09537	AP-RNA-13
Archaea	2157	D	1510	0	1510	4.2e-4	AP-RNA-13
Viruses	10239	D	2095	28	2123	5.9e-4	AP-RNA-13
Eukaryota	2759	D	3177265	2304	3179569	0.63292	AP-DNA-9
Bacteria	2	D	1840034	709	1840743	0.36641	AP-DNA-9
Archaea	2157	D	1446	0	1446	2.9e-4	AP-DNA-9
Viruses	10239	D	1890	15	1905	3.8e-4	AP-DNA-9
Eukaryota	2759	D	4516604	2806	4519410	0.9079	AP-RNA-3
Bacteria	2	D	453684	702	454386	0.09128	AP-RNA-3
Archaea	2157	D	1798	0	1798	3.6e-4	AP-RNA-3
Viruses	10239	D	2249	31	2280	4.6e-4	AP-RNA-3
Eukaryota	2759	D	4552501	3547	4556048	0.71174	AP-DNA-7
Bacteria	2	D	1839467	962	1840429	0.28751	AP-DNA-7
Archaea	2157	D	1960	0	1960	3.1e-4	AP-DNA-7
Viruses	10239	D	2785	52	2837	4.4e-4	AP-DNA-7
Eukaryota	2759	D	4080411	2949	4083360	0.68923	AP-DNA-4
Bacteria	2	D	1836402	786	1837188	0.3101	AP-DNA-4
Archaea	2157	D	2145	0	2145	3.6e-4	AP-DNA-4
Viruses	10239	D	1791	16	1807	3.1e-4	AP-DNA-4
Eukaryota	2759	D	6196282	3774	6200056	0.91145	AP-RNA-1
Bacteria	2	D	594658	987	595645	0.08756	AP-RNA-1
Archaea	2157	D	2591	0	2591	3.8e-4	AP-RNA-1
Viruses	10239	D	4063	51	4114	6e-4	AP-RNA-1
Eukaryota	2759	D	5794432	4481	5798913	0.70576	AP-DNA-5
Bacteria	2	D	2410027	1173	2411200	0.29346	AP-DNA-5
Archaea	2157	D	2603	0	2603	3.2e-4	AP-DNA-5
Viruses	10239	D	3840	28	3868	4.7e-4	AP-DNA-5
Eukaryota	2759	D	4981295	3933	4985228	0.68709	AP-DNA-6
Bacteria	2	D	2263163	1030	2264193	0.31206	AP-DNA-6
Archaea	2157	D	2342	0	2342	3.2e-4	AP-DNA-6
Viruses	10239	D	3763	20	3783	5.2e-4	AP-DNA-6
Eukaryota	2759	D	7991161	4664	7995825	0.91096	AP-RNA-2
Bacteria	2	D	771433	1429	772862	0.08805	AP-RNA-2
Archaea	2157	D	2945	0	2945	3.4e-4	AP-RNA-2
Viruses	10239	D	5600	81	5681	6.5e-4	AP-RNA-2
Eukaryota	2759	D	6947142	4756	6951898	0.7681	AP-DNA-12
Bacteria	2	D	2093088	1303	2094391	0.2314	AP-DNA-12
Archaea	2157	D	2283	0	2283	2.5e-4	AP-DNA-12
Viruses	10239	D	2205	48	2253	2.5e-4	AP-DNA-12
Eukaryota	2759	D	6712283	5628	6717911	0.66438	AP-DNA-11
Bacteria	2	D	3385114	2149	3387263	0.33499	AP-DNA-11
Archaea	2157	D	2818	0	2818	2.8e-4	AP-DNA-11
Viruses	10239	D	3443	37	3480	3.4e-4	AP-DNA-11
Bacteria	2	D	4799853	1351	4801204	0.71159	AP-DNA-14
Eukaryota	2759	D	1938565	2396	1940961	0.28767	AP-DNA-14
Archaea	2157	D	2416	0	2416	3.6e-4	AP-DNA-14
Viruses	10239	D	2594	11	2605	3.9e-4	AP-DNA-14
Eukaryota	2759	D	6292715	5018	6297733	0.72856	AP-DNA-13
Bacteria	2	D	2339936	1294	2341230	0.27085	AP-DNA-13
Archaea	2157	D	3109	0	3109	3.6e-4	AP-DNA-13
Viruses	10239	D	2002	31	2033	2.4e-4	AP-DNA-13
Eukaryota	2759	D	4326737	3380	4330117	0.65948	AP-DNA-8
Bacteria	2	D	2228559	1183	2229742	0.33959	AP-DNA-8
Archaea	2157	D	1933	0	1933	2.9e-4	AP-DNA-8
Viruses	10239	D	4136	25	4161	6.3e-4	AP-DNA-8
Eukaryota	2759	D	3888863	3557	3892420	0.88693	AP-RNA-4
Bacteria	2	D	484603	681	485284	0.11058	AP-RNA-4
Archaea	2157	D	1890	0	1890	4.3e-4	AP-RNA-4
Viruses	10239	D	9036	17	9053	0.00206	AP-RNA-4
Eukaryota	2759	D	9277042	7431	9284473	0.63747	AP-DNA-10
Bacteria	2	D	5266162	2884	5269046	0.36177	AP-DNA-10
Archaea	2157	D	4455	0	4455	3.1e-4	AP-DNA-10
Viruses	10239	D	6513	59	6572	4.5e-4	AP-DNA-10
Eukaryota	2759	D	16233027	11570	16244597	0.77803	AP-DNA-2
Bacteria	2	D	4617884	2974	4620858	0.22131	AP-DNA-2
Archaea	2157	D	6539	0	6539	3.1e-4	AP-DNA-2
Viruses	10239	D	7026	118	7144	3.4e-4	AP-DNA-2
Eukaryota	2759	D	15924972	12114	15937086	0.76557	AP-DNA-3
Bacteria	2	D	4865377	3127	4868504	0.23387	AP-DNA-3
Archaea	2157	D	6696	0	6696	3.2e-4	AP-DNA-3
Viruses	10239	D	4983	127	5110	2.5e-4	AP-DNA-3
Eukaryota	2759	D	12869984	8781	12878765	0.77643	AP-DNA-1
Bacteria	2	D	3693826	2419	3696245	0.22284	AP-DNA-1
Archaea	2157	D	6539	0	6539	3.9e-4	AP-DNA-1
Viruses	10239	D	5434	90	5524	3.3e-4	AP-DNA-1
