library,sample,na_type,date,sample_alias,season
SRR8663600,AP-DNA-16,DNA,2014-12-23,DNANegative_Control,not applicable
SRR8663607,AP-DNA-13,DNA,2015-01-05,05_Janurary_2015_02_February_2015,Winter
SRR8663608,AP-RNA-16,RNA,2014-12-23,RNANegative_Control,not applicable
SRR8663609,AP-RNA-15,RNA,2014-12-23,RNAUnexposed_Filter,not applicable
SRR8663610,AP-DNA-8,DNA,2014-08-04,04_August_2014_02_September_2014,Summer
SRR8663613,AP-DNA-5,DNA,2014-05-12,12_May_2014_09_June_2014,Spring
SRR8663615,AP-DNA-3,DNA,2014-03-17,17_March_2014_14_April_2014,Spring
SRR8663618,AP-DNA-10,DNA,2014-09-29,29_September_2014_27_October_2014,Fall
SRR8663625,AP-RNA-10,RNA,2014-09-29,29_September_2014_27_October_2014,Fall
SRR8663628,AP-RNA-13,RNA,2015-01-05,05_Janurary_2015_02_February_2015,Winter
SRR8663598,AP-RNA-4,RNA,2014-04-14,14_April_2014_12_May_2014,Spring
SRR8663604,AP-DNA-12,DNA,2014-11-24,24_November_2014_23_December_2014,Winter
SRR8663605,AP-DNA-11,DNA,2014-10-27,27_October_2014_24_November_2014,Fall
SRR8663606,AP-DNA-14,DNA,2014-12-23,23_December_2014_05_January_2015,Closed
SRR8663612,AP-DNA-6,DNA,2014-06-09,09_June_2014_07_July_2014,Summer
SRR8663614,AP-DNA-4,DNA,2014-04-14,14_April_2014_12_May_2014,Spring
SRR8663617,AP-DNA-1,DNA,2014-01-20,20_January_2014_17_February_2014,Winter
SRR8663619,AP-DNA-9,DNA,2014-09-02,02_September_2014_29_September_2014,Fall
SRR8663623,AP-RNA-8,RNA,2014-08-04,04_August_2014_02_September_2014,Summer
SRR8663627,AP-RNA-12,RNA,2014-11-24,24_November_2014_23_December_2014,Winter
SRR8663599,AP-RNA-3,RNA,2014-03-17,17_March_2014_14_April_2014,Spring
SRR8663601,AP-DNA-15,DNA,2014-12-23,DNAUnexposed_Filter,not applicable
SRR8663602,AP-RNA-2,RNA,2014-02-17,17_February_2014_17_March_2014,Winter
SRR8663603,AP-RNA-1,RNA,2014-01-20,20_January_2014_17_February_2014,Winter
SRR8663611,AP-DNA-7,DNA,2014-07-07,07_July_2014_04_August_2014,Summer
SRR8663616,AP-DNA-1,DNA,2014-02-17,17_February_2014_17_March_2014,Winter
SRR8663620,AP-RNA-5,RNA,2014-05-12,12_May_2014_09_June_2014,Spring
SRR8663621,AP-RNA-6,RNA,2014-06-09,09_June_2014_07_July_2014,Summer
SRR8663622,AP-RNA-7,RNA,2014-07-07,07_July_2014_04_August_2014,Summer
SRR8663624,AP-RNA-9,RNA,2014-09-02,02_September_2014_29_September_2014,Fall
SRR8663626,AP-RNA-11,RNA,2014-10-27,27_October_2014_24_November_2014,Fall
SRR8663629,AP-RNA-14,RNA,2014-12-23,23_December_2014_05_January_2015,Closed
